treatment,participant.id_in_session,participant.code,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,player.language,player.municipality_home,player.driving_license,player.access_to_car,player.car_type,player.buy_car_type,player.access_to_bike,player.access_to_motorbyke,player.access_to_scooter,player.employ_status,player.municipality_destination,player.trip_purpose,player.trip_other,player.trip_moment,player.trip_mode,player.mode_other,player.trip_traffic,player.trip_time,player.trip_cost,player.trip_tolls,player.trip_alternative_mode,player.trip_alternative_rate,player.trip_alternative_justification,player.inequality_perception,player.inequality_wish,player.income_distribution,session.code
Social Norm,40,axzk9gj9,169,169,A_Planet3_ES,End,19:44.7,1,ES,53,1,0,0,,2,2,2,2,43,1,,2,2,,1,1,2,,0,0,,4,5,3,uln4i2w2
Baseline,41,0kr4ett4,1,169,A_Planet1_ES,A1,07:52.7,1,EN,,,,,,,,,,,,,,,,,,,,,,,,,,uln4i2w2
Pollution,42,86t6doru,169,169,A_Planet3_ES,End,01:02.8,1,ES,73,1,1,1,4,2,2,2,2,73,1,,0,2,,2,0,0,,5,0,,4,4,5,uln4i2w2
Public Services,43,m58iw3h4,169,169,A_Planet3_ES,End,06:25.8,1,ES,97,1,1,1,4,0,1,1,0,82,0,,0,4,,0,2,1,,1,0,,2,4,3,uln4i2w2
Road Pricing,44,uhxmj0wy,169,169,A_Planet3_ES,End,41:35.2,1,ES,83,0,2,,4,2,2,1,2,88,1,,0,2,,2,0,0,,3,1,,4,5,3,uln4i2w2
Social Norm,45,mljhhksv,169,169,A_Planet3_ES,End,55:53.8,1,ES,83,1,1,0,4,1,2,2,2,92,0,,0,2,,1,0,0,,5,0,,2,4,3,uln4i2w2
Baseline,46,mwllqpwo,169,169,A_Planet3_ES,End,04:55.7,1,ES,97,1,1,0,4,0,1,2,0,73,5,,1,0,,1,0,0,1,4,1,,4,5,2,uln4i2w2
Pollution,47,tklufas1,169,169,A_Planet3_ES,End,13:22.6,1,ES,84,1,0,1,,0,2,2,0,64,0,,0,0,,2,1,2,1,1,0,,2,4,3,uln4i2w2
Public Services,48,n1jz31mj,169,169,A_Planet3_ES,End,50:29.7,1,ES,73,1,1,1,2,0,2,1,2,80,0,,0,2,,2,1,1,,0,1,,3,4,3,uln4i2w2
Road Pricing,49,q8qluwoa,169,169,A_Planet3_ES,End,58:25.7,1,ES,83,0,2,,4,1,2,2,2,81,6,,2,5,,1,2,0,,3,1,,3,5,3,uln4i2w2
Social Norm,50,6qhl0fs6,169,169,A_Planet3_ES,End,14:24.3,1,ES,82,1,2,,4,1,2,2,0,81,6,,2,3,,1,1,1,,2,1,,2,5,3,uln4i2w2
Baseline,51,cuye6dd3,169,169,A_Planet3_ES,End,06:28.2,1,ES,86,1,1,0,4,2,2,2,0,92,0,,0,3,,0,1,0,,2,1,,2,5,4,uln4i2w2
Pollution,52,ubf01yyz,169,169,A_Planet3_ES,End,36:50.9,1,ES,90,1,1,0,2,2,2,2,0,93,0,,0,0,,1,1,2,1,10,,Lugar mal comunicado por medios de transporte público,2,4,3,uln4i2w2
Public Services,53,025baf3d,169,169,A_Planet3_ES,End,13:17.1,1,ES,64,1,0,1,,2,2,2,2,81,6,,2,4,,0,1,0,,3,1,,1,4,3,uln4i2w2
Road Pricing,54,u1sfa65t,169,169,A_Planet3_ES,End,27:17.0,1,ES,92,0,1,2,2,1,2,1,4,81,4,,2,3,,1,1,1,,1,0,,2,4,3,uln4i2w2
Social Norm,55,f1gy2a1i,169,169,A_Planet3_ES,End,42:24.8,1,ES,91,1,1,1,4,0,1,1,2,82,5,,2,3,,1,2,0,,9,0,,2,4,2,uln4i2w2
Baseline,56,00yymq0o,169,169,A_Planet3_ES,End,51:21.2,1,ES,81,0,1,1,4,0,2,1,2,92,0,,0,3,,0,0,0,,2,1,,3,4,3,uln4i2w2
Pollution,57,sfblbvwk,169,169,A_Planet3_ES,End,11:31.5,1,ES,81,0,2,,4,1,1,1,0,82,0,,0,3,,1,1,1,,8,1,,3,4,3,uln4i2w2
Public Services,58,okgoorqe,169,169,A_Planet3_ES,End,05:07.6,1,ES,92,1,0,0,,0,2,2,0,91,0,,0,3,,0,0,0,,8,0,,1,4,4,uln4i2w2
Road Pricing,59,vdaxa6tc,169,169,A_Planet3_ES,End,32:56.5,1,ES,80,0,1,0,0,1,1,0,1,87,2,,0,2,,0,1,1,,0,0,,1,4,4,uln4i2w2
Social Norm,60,o4o34ebb,169,169,A_Planet3_ES,End,59:42.6,1,ES,94,0,2,,4,1,2,1,0,82,0,,0,3,,0,1,1,,6,3,,4,5,3,uln4i2w2
Baseline,61,ucm1u4ag,169,169,A_Planet3_ES,End,02:17.8,1,ES,6,1,1,1,1,1,2,2,2,73,1,,2,3,,1,1,0,,0,1,,2,4,2,uln4i2w2
Pollution,62,0heamljk,169,169,A_Planet3_ES,End,21:41.8,1,ES,57,1,1,0,1,0,2,2,0,57,5,,2,2,,1,1,1,,0,0,,2,4,3,uln4i2w2
Public Services,63,qo94kr9x,169,169,A_Planet3_ES,End,59:01.7,1,ES,102,1,1,1,4,2,2,2,0,82,0,,0,0,,0,2,3,1,10,,El tiempo que se tarda con cualquier otra alternativa es inviable,4,4,2,uln4i2w2
Road Pricing,64,lqwx8yq8,169,169,A_Planet3_ES,End,39:33.9,1,ES,6,1,1,2,4,2,2,1,2,73,1,,2,3,,1,0,0,,2,1,,4,4,5,uln4i2w2
